store_id,platform,products_found,pages_measured,median_desc_words,pages_under_40_words,brand_missing,reviews_missing
S02c6152233,salla,4850,5,391,0,2,0
S76115a4bf5,salla,4767,5,347,1,0,0
Sb7acab958e,salla,482,5,257,0,0,0
S62bd02c461,salla,2170,1,241,0,0,0
Sd80fceb1c5,salla,75,5,116,0,5,0
S09459d2066,salla,3266,5,300,0,4,0
Se3ac656656,salla,5000,5,18,3,3,0
S07d51f6f7c,salla,37,5,172,0,4,0
Sce233b0ed7,salla,192,5,128,1,5,0
Sd442357d65,salla,292,2,322.0,0,1,0
S06f58b8c11,salla,250,5,291,0,3,0
S1120eb6044,salla,326,2,375.0,0,0,0
S3258966469,salla,56,5,258,0,5,0
S140e15dec8,salla,103,5,0,4,4,0
Se24924cd48,salla,514,5,11,3,5,0
Sfdad978afb,salla,1337,5,238,0,0,0
S0c12642b6f,salla,1074,2,422.0,0,0,0
S5a31c6c376,salla,5000,5,295,0,0,0
S9198eb91ce,salla,36,2,357.5,0,2,0
S52235074ac,salla,409,5,81,0,5,0
Sb56db10d10,salla,726,5,198,0,3,0
S4fda2754bc,salla,420,5,633,0,3,0
S32015baaf8,salla,2138,5,334,1,3,0
Se7a5bcf86f,salla,534,5,116,0,4,0
S63cc5f78b0,salla,1482,5,216,1,5,0
S34b9137db9,salla,26,5,832,0,5,0
Sa01881dc0b,salla,1097,5,26,4,1,0
S57afb8ad21,salla,18,5,458,0,5,0
S8a1551599e,salla,476,5,291,0,5,0
S4b2005399a,salla,98,5,203,0,3,0
Sadcc4b8f00,salla,776,5,201,1,2,0
Scdc8f364c8,salla,246,5,331,0,5,0
S9fd4cfd89d,salla,287,5,0,4,4,0
S2906a80059,salla,1008,4,224.0,0,0,0
S5518ab0181,salla,2090,5,14,5,2,0
Se788769022,salla,2529,5,159,0,0,0
S7a90c7a2f4,salla,5000,5,280,0,4,0
S629779cb57,salla,268,5,213,0,5,0
S84258edc64,salla,757,5,84,1,5,0
Sac4b182dd1,salla,931,5,228,0,1,0
S12431407db,salla,3056,5,131,1,2,0
S0c6479ec82,salla,2764,5,217,2,3,0
Sea70176fe8,salla,428,5,159,0,2,0
S762fb9170a,salla,610,5,294,0,4,0
Sb91f1aeb03,salla,367,5,321,0,4,0
S6018ef28df,salla,1736,5,177,0,2,0
S1804bacc84,salla,1432,5,202,0,2,0
Sbf685f6ec2,salla,1384,5,13,4,0,0
Secbbe1fd85,salla,580,5,412,0,5,0
Scdcf663cc1,salla,5000,5,297,2,0,0
Sbc3c1dcba2,salla,5000,5,337,0,3,0
S6914188815,salla,776,5,496,0,1,0
S42de0800a6,salla,303,5,87,2,5,0
Sc07762f0f1,salla,22,5,60,1,5,0
S455a6f5306,salla,14,5,28,5,5,0
S05c7d623aa,salla,5000,5,327,1,1,0
S365d3bf4c7,salla,37,5,38,3,5,0
Sa2882130e1,salla,16,5,14,5,5,0
Sc1a7f86f51,salla,38,5,78,0,5,0
S3d19178f1c,salla,15,5,6,4,5,0
S58cbf1a11c,salla,125,5,13,5,5,0
Sac35a5d43a,salla,66,5,14,4,5,0
S99f22022c7,salla,835,5,343,2,5,0
S38abef3e18,salla,201,5,14,4,2,0
Sb38bdf33d8,salla,16,5,8,5,5,0
S7443e62ae3,salla,25,5,20,3,5,0
Scc4971f9d1,salla,41,5,13,5,5,0
Se5319ff45c,salla,32,5,39,3,5,0
Sf3987c09d8,salla,33,5,18,5,5,0
S94c78323cc,salla,10,5,27,3,5,0
S9ff6b70706,salla,12,4,202.0,0,3,0
S2912f2512d,salla,18,5,30,4,3,0
S7c410cdac4,salla,5000,5,282,0,0,0
S438f67577f,salla,44,5,21,4,5,0
S781cebae49,salla,15,5,102,2,5,0
S93b82dafc0,salla,24,5,11,4,5,0
S9b1ef1ce27,salla,1905,5,145,0,4,0
S77a76f0380,salla,12,5,97,0,4,0
Se24e050df6,salla,15,5,11,5,5,0
S1be55f5a95,salla,51,5,102,1,3,0
Sa78f7f4bff,salla,94,5,69,1,5,0
S468bc9f9b4,salla,15,5,7,5,5,0
Se50750a256,salla,316,1,90,0,1,0
Scae9c21d54,salla,15,5,11,5,5,0
S413ae13760,salla,250,5,329,0,0,0
S238486fb09,salla,10,5,4,5,5,0
S727c5b0a3f,salla,670,5,126,0,3,0
Sf4c5096030,salla,23,5,117,0,5,0
Sde11adc5fb,salla,15,5,91,1,5,0
S076c04c21a,salla,139,5,80,2,5,0
S70d2c0d122,salla,21,5,15,4,5,0
S605a4d5f84,salla,989,4,590.5,0,1,0
S9ab148e6dc,salla,39,5,135,0,5,0
S96d616c4c6,salla,21,5,9,4,0,0
Sf623e830b3,salla,88,4,13.5,4,4,0
S4307649d8b,salla,17,5,14,4,5,0
Sa87c882734,salla,16,5,0,4,5,0
S64db49968a,salla,17,5,132,0,5,0
S087b91aeeb,salla,15,5,19,4,5,0
S1166cfd322,salla,11,5,17,4,5,0
S5d33fc360f,salla,15,5,102,0,5,0
S94d6e87837,salla,15,5,9,5,5,0
S10c4149508,salla,15,5,22,4,5,0
Sd8244e7f75,salla,38,5,124,2,5,0
S8d6229390e,salla,30,5,11,4,5,0
Sa6077bd38e,salla,172,5,0,5,5,0
S0fb0ddfcc4,salla,24,5,32,3,5,0
S451666b96d,salla,28,5,119,1,5,0
Sc65665e549,salla,23,5,101,0,3,0
S4e2ed4b683,salla,59,5,7,5,5,0
S187a8b5ddc,salla,11,5,10,5,5,0
Sd420ebacec,salla,15,5,14,3,5,0
Sfac56dc048,salla,32,5,34,5,5,0
Sdd7a1d9fa8,salla,16,5,88,1,5,0
S65f34a9d5a,salla,293,4,58.5,2,3,0
S2617f198eb,salla,3794,5,125,1,2,0
S77720ab887,salla,5000,5,120,2,3,0
S9486ed2f3c,salla,49,5,163,0,5,0
S99da7477b1,salla,16,5,16,5,2,0
Sa51596783e,salla,17,5,273,0,0,0
S67818a40d8,salla,16,5,16,5,5,0
S37144a82ce,salla,23,5,4,5,5,0
Sdb54ae60ae,salla,18,5,150,1,4,0
Sde06539573,salla,81,5,121,0,5,0
S849e80ecdf,salla,45,5,80,0,5,0
S8d195c6703,salla,43,3,6,2,0,0
S46a498ce7e,shopify,250,5,46,0,4,5
Scafcfac1a4,shopify,250,5,40,2,0,5
S7ebc9683f4,shopify,250,5,4,3,0,4
S330b6c7056,shopify,37,5,139,0,3,5
S4f1fa548f7,shopify,250,5,55,0,0,0
Sc7f4319547,shopify,26,5,29,3,0,5
Sc8c4dd2bd9,shopify,222,4,64.0,0,0,0
Sd38ba6c74c,shopify,42,4,132.0,1,1,0
Sb9e8dd280d,shopify,250,5,63,0,0,5
S6be2e271e9,shopify,250,5,111,2,5,5
S42ab2f01bc,shopify,64,5,45,1,5,5
S8d78d49620,shopify,78,5,0,4,4,4
S3688c8d24c,shopify,161,5,0,5,4,5
Saf7fccfbf6,shopify,250,5,0,5,4,5
S400d9de991,shopify,250,5,43,2,0,5
S8aa350bfc2,shopify,250,5,27,5,5,0
S9415e3b848,shopify,250,5,158,0,5,0
S8211fc7406,shopify,250,5,69,1,4,5
S18007a98dc,shopify,250,5,79,0,0,5
S2eb5b9868e,shopify,17,5,54,2,0,5
Sd5ec710493,shopify,250,3,92,0,0,0
S1599ec9285,shopify,250,5,238,0,1,0
S8741b54feb,shopify,22,3,44,1,0,3
S02072e0d5a,shopify,250,5,241,0,2,0
S8478ed4288,shopify,53,5,72,0,1,0
S808d2add63,shopify,250,5,0,5,4,5
S5caaf9f032,shopify,250,4,27.5,3,0,4
Sa6df7de8ad,shopify,250,5,4,4,0,5
S399611a25b,shopify,250,4,0.0,4,4,0
Sb9387e7973,shopify,164,5,145,0,0,3
S799cfdbe83,shopify,250,5,101,2,0,5
S52c10b97e3,shopify,250,5,60,1,0,5
Sddba5a8152,shopify,50,5,114,0,0,5
S246e0d4355,shopify,250,5,23,3,1,5
Sab52a32d66,shopify,250,3,0,3,0,0
Sdff928f1db,shopify,250,5,4,5,0,5
S66e8bd93eb,shopify,250,4,152.0,0,0,0
Sb1fa9e47ce,shopify,250,5,0,5,5,5
Sd962e04af0,shopify,171,5,266,1,0,0
S2cb2ea4601,shopify,250,5,0,5,5,5
Saa8a032516,shopify,102,4,201.0,0,0,4
S7b03a4e38f,shopify,250,5,24,5,0,0
S9e0689b890,shopify,250,4,42.5,2,0,0
S1fd542b29a,shopify,250,5,106,0,0,0
Seba9b30cef,shopify,250,4,98.5,0,0,0
S99dd4a87a7,shopify,250,5,0,5,5,5
S7fa7885703,shopify,250,5,97,0,0,5
Sa652f5c9a3,shopify,171,4,485.5,0,0,0
S43a7f02ca8,shopify,250,5,15,5,5,5
Sac06c1034a,shopify,250,5,0,5,5,5
Sb8811b306d,shopify,250,4,802.0,0,4,4
S9538f34eeb,shopify,250,5,5,4,1,5
S37ffe09486,shopify,250,4,196.5,0,0,4
Se6992b426b,shopify,244,5,152,0,5,0
S9becd47e58,shopify,250,5,12,5,0,5
S128adcdab0,shopify,145,4,0.0,4,4,4
S9c7ff7adad,shopify,250,5,57,1,0,5
S601efaf582,shopify,250,5,129,0,0,1
S9b9ea2479b,shopify,147,5,81,0,0,2
Sac1647c861,shopify,72,5,0,5,5,5
Saaf74e62f4,shopify,168,5,19,4,0,5
Sa16e8c9b52,shopify,250,5,35,3,0,5
S746d8cb697,shopify,250,5,0,5,5,5
S322bbc67a7,shopify,250,5,0,5,5,5
Sa86e809e80,shopify,170,5,0,5,5,5
Sff7f721cf9,shopify,26,4,169.5,0,0,0
S14feb36823,zid,24,5,56,0,5,0
Sa4b00fc04b,zid,395,5,31,5,5,0
S850ba99939,zid,19,5,90,2,5,0
Sf516e4e6d0,zid,21,5,27,5,5,0
S3c4237f9de,zid,1935,5,44,1,5,0
Sa43a0942fd,zid,95,5,0,5,5,0
Sd57ab1b88b,zid,23,5,18,5,5,5
S43a3970fab,zid,92,5,0,5,5,0
Sc887c4f575,zid,23,5,32,3,5,0
S36a06a89e1,zid,16,5,13,5,5,5
S4dcf8ac72c,zid,2966,5,278,0,4,0
S5083331967,zid,108,5,185,0,4,0
S2a71adb7db,zid,154,5,86,1,5,0
S3841ac86f2,zid,10,5,165,0,5,5
S7422ca39f7,zid,12,5,32,5,5,0
S1bb8f92fcb,zid,52,5,15,4,5,0
Sa41c67f74e,zid,103,5,0,5,5,4
S5edbf078ee,zid,435,5,55,2,5,0
S5816811839,zid,210,4,8.0,4,4,4
S5e70e34c44,zid,24,5,61,2,5,0
S4bc3e0f5ea,zid,157,5,22,3,5,5
Sf1619b9054,zid,13,5,0,5,5,0
S2c77d55796,zid,236,5,229,0,3,0
S1a541423ab,zid,119,5,34,5,4,5
Scedadb6a0f,zid,67,5,28,3,5,0
S2bf3dcad79,zid,86,5,0,5,5,5
S60ab0c0af4,zid,172,5,8,5,5,0
Sde376783ac,zid,18,5,10,5,5,0
Sdeeb1421e9,zid,16,5,7,5,5,0
S3a13564758,zid,36,5,0,5,5,0
S74368fc542,zid,1155,5,27,5,5,0
Sfb62b422b3,zid,284,5,145,0,4,0
S5ea306387e,zid,86,5,32,4,5,0
S955efe345b,zid,624,5,81,2,5,0
Sd0921c2c7e,zid,55,5,30,5,5,5
S13da8e23d5,zid,19,5,0,5,5,5
S42a964901f,zid,2632,5,86,0,3,5
S22715f2acd,zid,81,5,36,3,5,0
Sf1138dae20,zid,26,5,29,4,5,0
S51e8595a2d,zid,182,5,19,3,5,0
S3b5685bbaa,zid,71,5,32,3,5,0
S2f92447b71,zid,44,5,5,5,5,0
Sb4d686b6b0,zid,10,5,26,5,5,0
Sae6bfbe263,zid,231,5,15,4,5,5
S2498369948,zid,40,5,0,5,5,5
Saf0b18412d,zid,16,5,3,5,5,5
S5ec04af278,zid,498,5,101,1,5,5
Sac28c0a8eb,zid,243,5,12,5,5,0
S971535b145,zid,13,5,167,0,5,5
S9340112bf1,zid,31,5,0,5,5,5
Sf4ea01f83e,zid,40,5,13,4,5,0
Sde41d32dbd,zid,13,5,114,0,5,0
S047b1bc3e2,zid,11,5,23,4,5,5
Sdd8a0d0e47,zid,12,5,22,3,5,0
S3b921f6ac3,zid,35,5,23,5,5,0
S8070df6fdb,zid,264,5,238,0,4,0
Sfc95f5b118,zid,34,5,10,5,5,0
S2693cca510,zid,26,5,10,5,5,0
S511d5a29ce,zid,164,5,22,5,5,0
S6ea5d3c7e7,zid,174,5,5,5,5,0
Sbe47a8e461,zid,1582,5,42,2,5,0
S9620b2adf9,zid,861,5,9,5,5,0
Se1d9f5fe14,zid,70,5,20,5,5,5
Sb08e6b3a6b,zid,182,5,71,0,5,0
Sb8c495a586,zid,14,5,134,0,5,0
S0a1467d147,zid,449,5,18,5,5,5
S4896080096,zid,20,5,12,4,5,0
S12717d3855,zid,19,5,40,2,5,0
S3f7bc35a25,zid,46,5,26,5,5,0
S95cf69237f,zid,143,5,47,2,5,0
S9ff5e4e605,zid,36,5,6,5,5,0
S4557a88c78,zid,628,5,27,5,5,0
Sfd3af3f43c,zid,243,5,64,2,5,5
Sd1d0faf84a,zid,18,5,97,0,5,5
S002df99afe,zid,14,5,13,4,5,5
S0b50d7ad63,zid,20,5,27,4,5,0
S4455edbd98,zid,14,5,30,4,5,0
Sfa161e445b,zid,40,5,22,5,5,5
Sb252b8528d,zid,91,5,212,2,3,5
S16cfaf1047,zid,1442,5,17,4,5,5
Se3a5e0db81,zid,10,5,12,5,5,0
S07faa35708,zid,11,5,41,2,5,0
Seeefe516c2,zid,21,5,137,0,5,0
S1049a32aa1,zid,29,5,25,5,5,5
S7b8ab16fb9,zid,125,5,0,4,5,0
S082406bcb8,zid,20,5,7,5,5,0
S63c5d37ba4,zid,85,5,8,5,5,0
S52875c123f,zid,35,5,61,2,5,0
Sb537242e87,zid,15,5,170,2,5,0
Sbe9bc13f7b,zid,10,5,15,5,5,0
S0d3270c38f,zid,73,5,23,5,5,0
S9bfdae3f78,zid,21,5,26,4,5,5
S3364bde211,zid,99,5,9,5,5,5
Sb88b9cce98,zid,25,5,9,4,5,0
S7c093a524b,zid,222,5,10,5,5,5
S68611aa9c0,zid,319,5,28,3,5,5
Sf1d4a12fd9,zid,16,5,6,4,5,0
S3f728c8d4b,zid,178,5,64,2,5,0
Sda82b1e0c5,zid,169,5,71,0,5,0
S1862252a9e,zid,231,5,103,0,5,0
S4367b7bc0d,zid,1914,5,122,1,5,0
Sc078eaceae,zid,113,5,299,0,5,0
Sdc105acf49,zid,118,5,56,2,5,0
S062f48a335,zid,1037,5,21,5,5,5
Sdc6751eb31,zid,86,5,90,1,4,0
S21a0e8ff68,zid,51,5,66,1,4,0
S257131c1bb,zid,41,5,47,0,5,0
Saa8afe127b,zid,1671,5,59,1,5,0
Sc5f1a2f1e5,zid,216,5,74,1,5,0
S0322f7caeb,zid,100,5,223,0,5,0
S0350116938,zid,12,5,30,4,5,5
Se1d180fefa,zid,22,5,24,4,5,5
S66155b2e8f,zid,40,5,41,2,5,0
Sbd269b77b8,zid,2843,5,14,5,5,5
S82915a8647,zid,489,5,16,5,5,0
S40f72a0e8e,zid,24,5,32,3,5,0
Sd0613a2168,zid,36,5,542,0,4,5
Se3062b5ae3,zid,847,5,24,5,5,0
S0fcab48411,zid,235,5,127,1,5,5
Sb328f146f4,zid,48,5,12,5,5,5
S85043b3f1c,zid,60,5,6,4,5,0
S4a8cc72325,zid,242,5,35,4,5,5
Sbe5efdb90d,zid,131,5,5,5,5,5
Sc63f311a1a,zid,223,5,0,4,5,0
S4c3647bfce,zid,34,5,38,3,5,0
S5d38b8910c,zid,43,5,126,1,5,5
S0daf58fe2d,zid,21,5,0,5,5,5
Sfd6cb392eb,zid,20,5,10,4,5,5
S6316d42539,zid,18,5,107,0,5,0
Sc471dc2ebd,zid,10,5,111,1,5,0
S0905c279d0,zid,44,5,30,5,5,5
Sbaa1a7584e,zid,96,5,5,5,5,0
Sf01d1565dd,zid,185,5,37,3,5,0
Se94dbfafc4,zid,16,5,18,5,5,5
S892557bec4,zid,62,5,12,4,5,0
S5fe04b55f9,zid,33,5,36,5,5,5
Sb3c0219b88,zid,166,5,14,3,4,0
S36e2543cd0,zid,50,5,12,5,5,5
S14f083c49a,zid,1942,5,213,0,5,0
Sb6ccbaed25,zid,77,5,17,5,5,0
S5c72f1b6d0,zid,54,5,19,3,5,5
Sa0d81bf11e,zid,17,5,0,5,5,5
S6202f7f800,zid,320,5,14,5,5,5
Sb2fa5cd154,zid,22,5,19,4,5,0
Se6e71efbc8,zid,16,5,64,0,5,5
Se1602a3d60,zid,82,5,36,4,5,0
Sc8a56b3ec8,zid,98,5,5,5,5,0
Sf88f60664a,zid,47,5,23,5,5,0
S26f7e98d17,zid,400,5,0,4,5,0
Sd836c51991,zid,1346,5,91,0,5,0
S8a0f1e0a7a,zid,291,5,220,0,2,0
Sc2a985cf71,zid,80,5,24,4,5,0
S585e1bf6ed,zid,11,5,234,0,5,5
S9795de70b3,zid,539,5,41,2,3,5
S8c4abb392f,zid,80,5,141,1,5,5
S16c8b0c03e,zid,72,5,23,4,5,0
S7d6d08e60f,zid,789,5,301,0,3,0
S30dc0da727,zid,200,5,34,4,5,0
Se9f2fbd9f9,zid,54,5,7,5,5,0
Se40231802d,zid,51,5,92,2,5,0
S5890e07a9d,zid,32,5,138,1,5,0
S97f352c8f3,zid,131,5,4,5,5,0
S068baf43ad,zid,10,5,23,5,5,0
S1aab2e6037,zid,15,5,10,5,5,5
S4a337c7141,zid,52,5,0,5,5,5
Se1d936383e,zid,241,5,21,5,5,0
Sbdfc1a2231,zid,115,5,23,4,4,0
Secfbf92fda,zid,27,5,32,4,5,0
Sdd41452d13,zid,46,5,6,5,5,0
S215cf7c11d,zid,78,5,30,4,5,0
Se602de8aad,zid,31,5,24,5,4,0
S9e77049980,zid,208,5,10,3,5,5
Sf233c943a2,zid,82,5,3,5,5,5
Sf140960b70,zid,10,5,29,3,5,0
